Level Name,base Stim,Go Probability,Stimulus Path,Probability,Index
L1,C:/Users/noam4/OneDrive/Desktop/DMTS/stimuli/8-75KHZ.npz,50,C:/Users/noam4/OneDrive/Desktop/DMTS/stimuli/14KHz.npy,30,1
L1,C:/Users/noam4/OneDrive/Desktop/DMTS/stimuli/8-75KHZ.npz,50,C:/Users/noam4/OneDrive/Desktop/DMTS/stimuli/15KHz.npy,70,2
